Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163
Time [s],0,600.437,1200.391,1800.354,2400.334,3000.28,3600.28,4200.28,4800.28,5400.28,6000.28,6600.28,7200.28,7800.28,8400.28,9000.28,9600.28,10200.28,10800.28,11400.28,12000.28,12600.28,13200.28,13800.28,14400.28,15000.28,15600.28,16200.28,16800.28,17400.28,18000.28,18600.28,19200.28,19800.28,20400.28,21000.28,21600.28,22200.28,22800.28,23400.28,24000.28,24600.28,25200.28,25800.28,26400.28,27000.28,27600.28,28200.28,28800.28,29400.28,30000.28,30600.28,31200.28,31800.28,32400.28,33000.28,33600.28,34200.28,34800.28,35400.28,36000.28,36600.28,37200.28,37800.28,38400.28,39000.28,39600.28,40200.28,40800.28,41400.28,42000.28,42600.28,43200.28,43800.28,44400.28,45000.28,45600.28,46200.28,46800.28,47400.28,48000.28,48600.28,49200.28,49800.28,50400.28,51000.28,51600.28,52200.28,52800.28,53400.28,54000.28,54600.28,55200.28,55800.28,56400.28,57000.28,57600.28,58200.28,58800.28,59400.28,60000.28,60600.28,61200.28,61800.28,62400.28,63000.28,63600.28,64200.28,64800.28,65400.28,66000.28,66600.28,67200.28,67800.28,68400.28,69000.28,69600.28,70200.28,70800.28,71400.28,72000.28,72600.28,73200.28,73800.28,74400.28,75000.28,75600.28,76200.28,76800.28,77400.28,78000.28,78600.28,79200.28,79800.28,80400.28,81000.28,81600.28,82200.28,82800.28,83400.28,84000.28,84600.28,85200.28,85800.28,86400.28,87000.28,87600.28,88200.28,88800.28,89400.28,90000.28,90600.28,91200.28,91800.28,92400.28,93000.28,93600.28,94200.28,94800.28,95400.28,96000.28,96600.28,97200.28
Temp. [°C],26.9,30.1,30,30,30,30,29.9,30,30,30,30,30,30,30,30,30,30,30.1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30.1,30,30,30,30,30,30,30,30.1,30,30,30.1,30,30,30,30,30,30,30,30,30,30,30,30,30,30.1,30,30,30.1,30,30.1,30,30,30,30,30,30,30,30,30,30,30,30.1,30,30.1,30,30,30.1,30,30,30,30,30,30,30,30,30.1,30,30.1,30,30.1,30,30,30,30,30,30.1,30.1,30,30,30.1,30,30,30,30,30.1,30,30,30,30,30,30.1,30,30,30,30.1,30,30,30,30,30,30,30,30,30.1,30,30,30,30.1,30,30.1,30,30,30,30
A1,31728,38321,40390,42534,44216,45219,37038,43101,45900,46670,47061,46789,46214,44773,45452,45907,46787,45470,47361,37953,48031,47503,48761,48063,49814,47726,49514,48584,47705,49231,47240,48131,47808,48279,47048,46833,46188,47457,46465,44469,42555,41933,39074,36398,33529,30906,28452,26470,22906,19420,17344,15526,13578,14741,15086,16717,17544,17361,18302,19495,19480,19792,19837,20182,20958,21679,22235,22776,23505,22868,24206,25314,26202,26964,26006,26771,26238,27062,27935,29185,29370,28919,30002,28585,29590,30972,30878,31138,33166,32676,33499,34224,34614,34587,36753,37536,38066,37542,39359,40717,40340,41935,42971,41600,42215,43420,43581,44202,44769,44902,44866,44792,47536,45917,47032,47448,47538,47623,46620,49039,48389,48406,49536,49019,47711,47576,49252,48736,49414,50327,49902,51095,48648,48628,48253,49730,50693,50177,50510,49191,49234,51168,51798,51421,50448,51643,52191,52173,51463,50549,50953,50508,52196,53006,52021,51733,51205,51270,52444,51255,52276,51223,50773
A2,20065,31148,39349,43305,45937,45419,36348,39629,45410,48361,49452,49371,35239,30437,28264,28490,27419,25921,24631,22048,23801,23873,25331,24573,24583,23796,23533,22973,24275,24951,25051,23851,25999,25199,24949,25904,26299,26158,24426,22300,22908,20905,19357,19262,17524,16772,15889,15088,15044,13359,12653,11625,11838,11711,11256,11516,11613,10960,11600,11243,11778,11441,10726,11411,11636,11037,11793,11193,11573,11566,11943,11741,12338,12361,12073,13047,12695,12518,12951,13161,12346,14336,13957,13921,14756,14197,14373,14474,15031,15371,14814,14879,15769,15801,15676,16929,16319,16836,16161,16759,17262,17226,17402,17612,17507,17391,17852,17432,18149,18542,18256,18292,18884,18547,19321,19017,20157,19252,20320,20397,19587,20114,20154,20377,19530,20315,20590,20135,20792,20965,20910,20222,21057,20897,20592,20377,20370,20504,20837,21609,20332,20245,21395,21968,19825,21610,21308,21980,20990,22107,21480,21585,22343,21532,21418,21470,21793,22058,21820,22143,21833,22130,22081
A3,28317,39051,45022,47357,50389,47921,43371,47303,51043,50222,49972,48951,48876,49946,48073,51160,50359,50642,49282,45067,49642,51886,55365,55798,55418,54050,52596,55158,55010,53734,55666,53975,53762,54212,53222,52006,53372,52570,51428,50632,49749,49217,47578,44992,43743,39479,36565,32953,29077,23511,19344,16636,18649,19482,21558,22338,23935,23673,24913,25396,26852,25674,28070,27474,27439,28101,27967,30018,29867,30110,31888,33567,32714,33857,34660,34724,36002,36635,38179,39129,38374,39174,39806,39909,41075,42247,42232,42453,41630,44222,44174,43399,45169,45522,44997,45059,47281,45106,45882,46900,48084,47818,46883,47003,47428,47723,47973,48364,46620,47874,47898,48464,48506,47979,48863,49740,48569,48594,49222,50720,49499,48966,50887,50100,49832,50748,49162,50617,49113,49107,51283,49214,50279,50029,51535,50680,49972,49476,51931,50071,50715,50768,52409,51761,52459,50622,52171,51003,51473,51190,52183,50778,51596,51135,51220,52244,49514,51330,52804,51956,51796,50392,51634
A4,19295,33669,43791,47297,49759,44759,40419,46793,50292,52894,39147,28491,25196,25485,26264,27239,26378,26281,25321,22478,22540,22253,22340,22463,21422,20775,19642,18872,17764,17309,15629,15269,14436,14546,14106,13591,13576,14005,12863,13548,12565,12333,11576,11601,11343,10991,10258,9917,9883,8928,8372,7774,7978,7860,8415,7785,8372,8360,8130,8973,8328,8340,9115,9050,8595,8707,8473,9273,8322,9035,8773,9201,9168,9000,9413,9217,9865,9788,9691,9561,9675,10495,10367,9691,10826,10597,11463,10493,11041,10701,11183,10738,11528,11191,10936,11688,12088,11475,11450,11968,12121,11575,11591,11871,11846,12750,12181,12211,12408,12111,12965,12291,11743,12636,12850,12366,12506,12601,12678,13506,12276,13423,13033,13386,12648,12503,13329,13313,13680,13414,12718,13191,11995,12575,13271,12906,13018,13573,12946,13808,13931,13854,13083,13756,13494,13308,13686,13458,13288,13705,14068,13864,13821,14291,13906,14329,14231,14006,13988,13201,13571,14739,14209
A5,17284,29967,43711,50849,54942,49982,39899,49114,52674,55345,54145,33263,31768,31747,32666,33592,34791,34995,35585,30660,32114,32276,32033,34787,33146,30068,28134,25844,24626,21940,19230,16969,14946,13746,12576,12291,11756,11295,11333,11198,11045,10023,9635,9140,9612,9090,9718,9687,9563,8238,8782,8345,8348,8060,8525,8245,8722,8290,7850,8513,8418,8000,8625,7790,7885,8247,8463,7843,8882,8395,8073,8220,8168,8550,8453,8207,8425,8828,8460,8270,8305,8295,8687,8760,8845,8737,9532,8883,9120,8490,8873,8508,9478,9451,9305,8958,9328,9485,9170,9108,9201,8835,9531,9281,8905,9100,9930,9571,8968,9501,9495,9550,10153,9735,9860,10346,9916,9900,9688,9795,9906,9292,10773,9986,10058,10023,9798,9723,10100,9533,10378,10581,9515,10245,9520,10586,9968,10143,9375,9817,10210,10303,9913,10136,10883,10808,10216,10858,10408,10045,9838,10623,10401,9840,10966,10788,11000,10766,10578,10590,10620,10288,10879
B1,25826,37190,41440,43505,43896,44319,38609,45742,49732,51543,54755,57206,58492,57691,57519,57124,51330,51593,53734,53072,72068,82029,91767,92410,93772,96688,101851,111052,120247,121544,126962,133763,138358,139520,142625,145484,143206,139329,132977,118150,107763,96918,88561,78897,71422,68348,64442,58126,53930,51013,45824,41074,38756,34467,32551,30941,28687,26124,26674,24796,22540,22793,21028,20653,19627,18758,18915,18775,18254,19137,19235,18892,17959,18892,19255,18929,20127,20730,20522,22483,22898,23918,26320,26584,28190,28751,31088,32489,34217,34807,36830,37396,37125,37688,38033,37116,36675,36532,36077,36135,35968,35952,36388,36318,37563,37137,37008,37448,37025,38029,37402,38528,38851,39684,38758,40615,41225,41830,42208,43406,44587,45964,46084,47718,49502,49227,50923,51108,52575,53639,54975,54027,56323,57534,58000,58245,60109,60043,60707,62169,63183,61935,62515,64479,63036,62280,64800,65092,65012,65329,64082,64437,66096,65215,63759,65153,67056,66261,65212,64925,64634,64972,64283
B2,22485,34869,39119,41134,45396,46430,41530,45222,50012,53594,54555,59597,59553,60122,59360,58875,56453,49072,54095,56003,73249,84472,99546,105115,100179,98340,101681,108809,122320,133993,141726,156652,160697,164985,172540,181063,184165,178933,165143,143429,127340,115131,104249,95264,90130,81970,76242,72457,66328,60829,55150,50909,47301,42100,39384,38204,36850,33456,33216,34069,31883,29815,27279,28205,27479,26840,25706,26117,26086,25639,27357,28255,27662,28625,29478,28471,31660,32394,32856,34057,35082,36532,37374,36848,39284,38835,40572,42653,42521,42531,44164,44849,46650,46423,45727,47901,48541,47948,48904,49022,49274,50289,50045,51215,52601,52515,55228,54608,56006,60482,61536,63894,66779,69133,68307,71695,70855,72250,72498,73487,74257,75185,73854,73527,73229,73985,74620,73825,72420,74065,72879,72981,74367,73056,71960,72916,74710,72563,73257,74449,71450,70672,72163,73517,72283,72678,74328,71958,71828,73126,72418,73594,73542,72280,72246,74720,72321,73887,73089,76134,73321,74730,74041
B3,24896,36020,42931,46386,49369,47380,42641,46063,47021,49962,46580,46459,47025,46914,47903,49720,49909,49172,50292,43266,51123,52296,52744,52496,53507,51858,52446,52566,52278,53394,52924,53324,51891,52611,52781,52976,54062,52751,51678,49122,48368,45235,42245,40180,38191,35648,35075,31862,29418,26612,24835,24268,24381,23493,26259,28500,31608,32636,34237,35550,37106,37798,37113,38409,39064,38895,38621,41182,42002,42085,42403,42211,43299,44111,44474,46129,46347,47771,48084,49975,51340,54032,55975,56559,58535,62139,62895,65278,68758,68468,69781,71498,72658,74142,76299,76842,78324,79832,80118,82908,84122,83635,85283,87555,86889,87835,88956,88676,90285,92811,91504,92700,93624,92916,92710,95789,95879,98177,93779,95869,98282,97118,96227,98372,96112,96668,98455,97729,100178,97979,98535,98467,97270,99823,101420,98612,101308,99640,97611,99004,100679,100332,103876,102287,101003,101087,101866,103571,100367,102146,103911,105909,103764,105525,104690,104802,106116,105581,105813,105355,106417,106134,106826
